Band: [20Hz - 167Hz]	 Volume: 236814696590
Band: [167Hz - 314Hz]	 Volume: 6771744461877
Band: [314Hz - 461Hz]	 Volume: 0
Band: [461Hz - 608Hz]	 Volume: 0
Band: [608Hz - 755Hz]	 Volume: 0
Band: [756Hz - 903Hz]	 Volume: 2938219667537
Band: [903Hz - 1050Hz]	 Volume: 240669141831
Band: [1050Hz - 1197Hz]	 Volume: 232408011847
Band: [1197Hz - 1344Hz]	 Volume: 1570265427595
Band: [1344Hz - 1491Hz]	 Volume: 0
Band: [1492Hz - 1639Hz]	 Volume: 0
Band: [1639Hz - 1786Hz]	 Volume: 0
Band: [1786Hz - 1933Hz]	 Volume: 679515752280
Band: [1933Hz - 2080Hz]	 Volume: 410465953
Band: [2080Hz - 2227Hz]	 Volume: 0
Band: [2228Hz - 2375Hz]	 Volume: 493356129738
Band: [2375Hz - 2522Hz]	 Volume: 191034205155
Band: [2522Hz - 2669Hz]	 Volume: 78133661803
Band: [2669Hz - 2816Hz]	 Volume: 128775135276
Band: [2816Hz - 2963Hz]	 Volume: 823396322294
Band: [2964Hz - 3111Hz]	 Volume: 0
Band: [3111Hz - 3258Hz]	 Volume: 0
Band: [3258Hz - 3405Hz]	 Volume: 454044243313
Band: [3405Hz - 3552Hz]	 Volume: 189389867573
Band: [3552Hz - 3699Hz]	 Volume: 24109924742
Band: [3700Hz - 3847Hz]	 Volume: 5438329760
Band: [3847Hz - 3994Hz]	 Volume: 80888982384
Band: [3994Hz - 4141Hz]	 Volume: 25678205140
Band: [4141Hz - 4288Hz]	 Volume: 28083017945
Band: [4288Hz - 4435Hz]	 Volume: 131548457417
Band: [4436Hz - 4583Hz]	 Volume: 418757039235
Band: [4583Hz - 4730Hz]	 Volume: 0
Band: [4730Hz - 4877Hz]	 Volume: 0
Band: [4877Hz - 5024Hz]	 Volume: 457810867566
Band: [5024Hz - 5171Hz]	 Volume: 65178372145
Band: [5172Hz - 5319Hz]	 Volume: 30093935366
Band: [5319Hz - 5466Hz]	 Volume: 47918932377
Band: [5466Hz - 5613Hz]	 Volume: 125651064297
Band: [5613Hz - 5760Hz]	 Volume: 0
Band: [5760Hz - 5907Hz]	 Volume: 1393342348
Band: [5908Hz - 6055Hz]	 Volume: 264744138640
Band: [6055Hz - 6202Hz]	 Volume: 0
Band: [6202Hz - 6349Hz]	 Volume: 0
Band: [6349Hz - 6496Hz]	 Volume: 0
Band: [6496Hz - 6643Hz]	 Volume: 314737889545
Band: [6644Hz - 6791Hz]	 Volume: 33085186880
Band: [6791Hz - 6938Hz]	 Volume: 28139964346
Band: [6938Hz - 7085Hz]	 Volume: 244587672220
Band: [7085Hz - 7232Hz]	 Volume: 0
Band: [7232Hz - 7379Hz]	 Volume: 0
Band: [7380Hz - 7527Hz]	 Volume: 0
Band: [7527Hz - 7674Hz]	 Volume: 128353588831
Band: [7674Hz - 7821Hz]	 Volume: 0
Band: [7821Hz - 7968Hz]	 Volume: 0
Band: [7968Hz - 8115Hz]	 Volume: 87337670181
Band: [8116Hz - 8263Hz]	 Volume: 62675258530
Band: [8263Hz - 8410Hz]	 Volume: 13096679812
Band: [8410Hz - 8557Hz]	 Volume: 22738231548
Band: [8557Hz - 8704Hz]	 Volume: 209343425714
Band: [8704Hz - 8851Hz]	 Volume: 0
Band: [8852Hz - 8999Hz]	 Volume: 0
Band: [8999Hz - 9146Hz]	 Volume: 0
Band: [9146Hz - 9293Hz]	 Volume: 160212242895
Band: [9293Hz - 9440Hz]	 Volume: 494184754
Band: [9440Hz - 9587Hz]	 Volume: 0
Band: [9588Hz - 9735Hz]	 Volume: 18414982380
Band: [9735Hz - 9882Hz]	 Volume: 340658808
Band: [9882Hz - 10029Hz]	 Volume: 204761677
Band: [10029Hz - 10176Hz]	 Volume: 16279454506
Band: [10176Hz - 10323Hz]	 Volume: 118069475292
Band: [10324Hz - 10471Hz]	 Volume: 0
Band: [10471Hz - 10618Hz]	 Volume: 0
Band: [10618Hz - 10765Hz]	 Volume: 102839485220
Band: [10765Hz - 10912Hz]	 Volume: 11280141018
Band: [10912Hz - 11059Hz]	 Volume: 179154490
Band: [11060Hz - 11207Hz]	 Volume: 1323496142
Band: [11207Hz - 11354Hz]	 Volume: 25179887809
